timestamp,open,low,high,close,OPENPOSITIONVALUE,VALUE,VOLUME,open_interest,SETTLEPRICE,SWAPRATE,WAPRICE,CHANGE,QTY,NUMTRADES
2023-05-24,80511.0,79801.0,80511.0,79801.0,119927190.0,1122701.0,14.0,1502,79845.0,0.0,80193.0,-1.07,1.0,12
2023-05-25,80600.0,80202.0,81407.0,80336.0,122232320.0,2585936.0,32.0,1520,80416.0,0.0,80811.0,0.67,1.0,29
2023-05-26,81431.0,80338.0,81459.0,80400.0,121092942.0,1864495.0,23.0,1506,80407.0,0.0,81065.0,0.08,1.0,22
2023-05-29,80799.0,80390.0,81691.0,81115.0,122557640.0,890695.0,11.0,1510,81164.0,0.0,80972.0,0.89,1.0,8
2023-05-30,81699.0,81300.0,82399.0,81952.0,121525482.0,3279393.0,40.0,1482,82001.0,0.0,81985.0,1.03,1.0,29
2023-05-31,82932.0,81892.0,82932.0,82183.0,120644644.0,2721988.0,33.0,1468,82183.0,0.0,82484.0,0.28,1.0,29
2023-06-01,81935.0,81577.0,82251.0,81577.0,120359470.0,1230011.0,15.0,1474,81655.0,0.0,82001.0,-0.74,1.0,14
2023-06-02,81978.0,81973.0,82695.0,82467.0,122486392.0,2059246.0,25.0,1484,82538.0,0.0,82370.0,1.09,1.0,23
2023-06-05,82939.0,82127.0,84000.0,82127.0,123285000.0,4892912.0,59.0,1500,82190.0,0.0,82931.0,-0.41,1.0,50
2023-06-06,82222.0,82222.0,82659.0,82441.0,123349688.0,824385.0,10.0,1496,82453.0,0.0,82439.0,0.38,1.0,10
2023-06-07,82490.0,82244.0,82999.0,82765.0,124147500.0,661713.0,8.0,1500,82765.0,0.0,82714.0,0.39,1.0,8
2023-06-08,82999.0,82214.0,83419.0,82767.0,123650992.0,3560977.0,43.0,1492,82876.0,0.0,82813.0,0.0,1.0,38
2023-06-09,83334.0,82965.0,83769.0,83231.0,122516032.0,4758790.0,57.0,1472,83231.0,0.0,83488.0,0.56,1.0,46
2023-06-13,83300.0,82913.0,84454.0,83931.0,125298160.0,5869432.0,70.0,1492,83980.0,0.0,83849.0,0.84,1.0,64
2023-06-14,84228.0,82455.0,84899.0,83740.0,126112440.0,4017053.0,48.0,1506,83740.0,0.0,83689.0,-0.23,1.0,40
2023-06-15,83734.0,83734.0,84380.0,84132.0,125706654.0,9494090.0,113.0,1494,84141.0,0.0,84018.0,0.47,1.0,69
2023-06-16,84063.0,83550.0,84328.0,83987.0,130001394.0,6286529.0,75.0,1542,84307.0,0.0,83820.0,-0.17,1.0,46
2023-06-19,84567.0,83762.0,84567.0,83772.0,134205948.0,4875679.0,58.0,1602,83774.0,0.0,84063.0,-0.26,1.0,46
2023-06-20,83876.0,83876.0,84816.0,84434.0,138302892.0,4392041.0,52.0,1638,84434.0,0.0,84462.0,0.79,1.0,38
2023-06-21,84791.0,83622.0,84791.0,83626.0,134229136.0,4030414.0,48.0,1604,83684.0,0.0,83967.0,-0.96,1.0,43
2023-06-22,84300.0,83411.0,84300.0,84165.0,135842310.0,2768937.0,33.0,1614,84165.0,0.0,83907.0,0.65,1.0,29
2023-06-23,83829.0,83829.0,84751.0,84484.0,137370984.0,2868215.0,34.0,1626,84484.0,0.0,84359.0,0.38,1.0,28
2023-06-26,84662.0,84223.0,85862.0,84603.0,139425744.0,8326434.0,98.0,1648,84603.0,0.0,84964.0,0.14,1.0,73
2023-06-27,84799.0,84761.0,85398.0,84852.0,139988244.0,3061669.0,36.0,1644,85151.0,0.0,85046.0,0.29,1.0,29
2023-06-28,85158.0,85000.0,86592.0,86132.0,143323648.0,5065021.0,59.0,1664,86132.0,0.0,85848.0,1.51,1.0,47
2023-06-29,86449.0,86105.0,87494.0,87361.0,147814812.0,6267840.0,72.0,1692,87361.0,0.0,87053.0,1.43,1.0,55
2023-06-30,87495.0,87494.0,89433.0,89101.0,145780688.0,12229308.0,138.0,1636,89108.0,0.0,88618.0,1.99,1.0,113
2023-07-03,89535.0,88149.0,90946.0,88400.0,138746526.0,13933192.0,156.0,1574,88149.0,0.0,89315.0,-0.79,1.0,106
2023-07-04,88539.0,87903.0,89200.0,87903.0,139840500.0,4516643.0,51.0,1590,87950.0,0.0,88562.0,-0.56,1.0,46
2023-07-05,88609.0,88599.0,90394.0,89971.0,141270170.0,13347228.0,149.0,1570,89981.0,0.0,89579.0,2.35,2.0,127
2023-07-06,90400.0,89810.0,91989.0,90210.0,141088440.0,5175943.0,57.0,1564,90210.0,0.0,90806.0,0.27,1.0,50
2023-07-07,89787.0,89787.0,90700.0,90150.0,142437000.0,1446682.0,16.0,1580,90150.0,0.0,90418.0,-0.07,2.0,14
2023-07-10,90488.0,89683.0,90488.0,89683.0,140981676.0,721844.0,8.0,1572,89683.0,0.0,90231.0,-0.52,1.0,8
2023-07-11,88965.0,88949.0,89500.0,89409.0,139478040.0,3301265.0,37.0,1560,89409.0,0.0,89223.0,-0.31,1.0,29
2023-07-12,89449.0,89093.0,89785.0,89581.0,141000494.0,2416951.0,27.0,1574,89581.0,0.0,89517.0,0.19,1.0,21
2023-07-13,90000.0,89409.0,90700.0,89500.0,140336000.0,1352653.0,15.0,1568,89500.0,0.0,90177.0,-0.09,1.0,13
